cellI,x,y,z,V,Ux,Uy,Uz
28924,7.99632,0.59375,0.005,1.9986e-06,3.70823,-0.00226777,0
28925,8.0123,0.59375,0.005,1.99631e-06,3.70842,-0.00226699,0
28926,8.02827,0.59375,0.005,1.99403e-06,3.7086,-0.00226622,0
28927,8.04421,0.59375,0.005,1.99175e-06,3.70879,-0.00226546,0
28928,8.06013,0.59375,0.005,1.98947e-06,3.70897,-0.0022647,0
28929,8.07604,0.59375,0.005,1.9872e-06,3.70916,-0.00226395,0
28930,8.09193,0.59375,0.005,1.98493e-06,3.70934,-0.00226321,0
28931,8.1078,0.59375,0.005,1.98266e-06,3.70953,-0.00226248,0
28932,8.12365,0.59375,0.005,1.98039e-06,3.70971,-0.00226176,0
28933,8.13949,0.59375,0.005,1.97813e-06,3.70989,-0.00226106,0
28934,8.1553,0.59375,0.005,1.97587e-06,3.71008,-0.00226037,0
28935,8.1711,0.59375,0.005,1.97361e-06,3.71026,-0.00225969,0
28936,8.18688,0.59375,0.005,1.97135e-06,3.71044,-0.00225901,0
28937,8.20264,0.59375,0.005,1.9691e-06,3.71062,-0.00225834,0
28938,8.21838,0.59375,0.005,1.96685e-06,3.7108,-0.00225768,0
28939,8.23411,0.59375,0.005,1.9646e-06,3.71099,-0.00225703,0
28940,8.24982,0.59375,0.005,1.96235e-06,3.71117,-0.00225639,0
28941,8.26551,0.59375,0.005,1.96011e-06,3.71135,-0.00225576,0
28942,8.28118,0.59375,0.005,1.95787e-06,3.71153,-0.00225515,0
28943,8.29683,0.59375,0.005,1.95563e-06,3.71171,-0.00225454,0
28944,8.31247,0.59375,0.005,1.9534e-06,3.71189,-0.00225395,0
28945,8.32809,0.59375,0.005,1.95116e-06,3.71207,-0.00225337,0
28946,8.34369,0.59375,0.005,1.94893e-06,3.71225,-0.00225281,0
28947,8.35927,0.59375,0.005,1.9467e-06,3.71243,-0.00225226,0
28948,8.37484,0.59375,0.005,1.94448e-06,3.71261,-0.00225173,0
28949,8.39038,0.59375,0.005,1.94226e-06,3.71278,-0.00225121,0
28950,8.40591,0.59375,0.005,1.94004e-06,3.71296,-0.00225072,0
28951,8.42142,0.59375,0.005,1.93782e-06,3.71314,-0.00225024,0
28952,8.43692,0.59375,0.005,1.9356e-06,3.71332,-0.00224978,0
28953,8.45239,0.59375,0.005,1.93339e-06,3.71349,-0.00224934,0
28954,8.46785,0.59375,0.005,1.93118e-06,3.71367,-0.00224892,0
28955,8.48329,0.59375,0.005,1.92897e-06,3.71385,-0.00224853,0
28956,8.49871,0.59375,0.005,1.92677e-06,3.71402,-0.00224816,0
28957,8.51412,0.59375,0.005,1.92456e-06,3.7142,-0.00224781,0
28958,8.52951,0.59375,0.005,1.92236e-06,3.71438,-0.0022475,0
28959,8.54488,0.59375,0.005,1.92017e-06,3.71455,-0.00224721,0
28960,8.56023,0.59375,0.005,1.91797e-06,3.71473,-0.00224695,0
28961,8.57557,0.59375,0.005,1.91578e-06,3.7149,-0.00224672,0
28962,8.59088,0.59375,0.005,1.91359e-06,3.71508,-0.00224652,0
28963,8.60618,0.59375,0.005,1.9114e-06,3.71525,-0.00224636,0
28964,8.62147,0.59375,0.005,1.90922e-06,3.71542,-0.00224623,0
28965,8.63673,0.59375,0.005,1.90703e-06,3.7156,-0.00224614,0
28966,8.65198,0.59375,0.005,1.90485e-06,3.71577,-0.00224609,0
28967,8.66721,0.59375,0.005,1.90268e-06,3.71594,-0.00224608,0
